nodeId,law,article,sub_ref,sub_type,text,parent_id
CDC_art18_par1,CDC,18,§ 1°,paragraph,"§ 1° Não sendo o vício sanado no prazo máximo de trinta dias, pode o consumidor exigir, alternativamente e à sua escolha:",CDC_art18
CDC_art18_par1_incI,CDC,18,I,incise,"I - a substituição do produto por outro da mesma espécie, em perfeitas condições de uso;",CDC_art18_par1
CDC_art18_par1_incII,CDC,18,II,incise,"II - a restituição imediata da quantia paga, monetariamente atualizada, sem prejuízo de eventuais perdas e danos;",CDC_art18_par1
CDC_art18_par1_incIII,CDC,18,III,incise,III - o abatimento proporcional do preço.,CDC_art18_par1
CDC_art18_par2,CDC,18,§ 2°,paragraph,"§ 2° Poderão as partes convencionar a redução ou ampliação do prazo previsto no parágrafo anterior, não podendo ser inferior a sete nem superior a cento e oitenta dias. Nos contratos de adesão, a cláusula de prazo deverá ser convencionada em separado, por meio de manifestação expressa do consumidor.",CDC_art18
CDC_art18_par3,CDC,18,§ 3°,paragraph,"§ 3° O consumidor poderá fazer uso imediato das alternativas do § 1° deste artigo sempre que, em razão da extensão do vício, a substituição das partes viciadas puder comprometer a qualidade ou características do produto, diminuir-lhe o valor ou se tratar de produto essencial.",CDC_art18
CDC_art18_par4,CDC,18,§ 4°,paragraph,"§ 4° Tendo o consumidor optado pela alternativa do inciso I do § 1° deste artigo, e não sendo possível a substituição do bem, poderá haver substituição por outro de espécie, marca ou modelo diversos, mediante complementação ou restituição de eventual diferença de preço, sem prejuízo do disposto nos incisos II e III do § 1° deste artigo.",CDC_art18
CDC_art18_par5,CDC,18,§ 5°,paragraph,"§ 5° No caso de fornecimento de produtos in natura, será responsável perante o consumidor o fornecedor imediato, exceto quando identificado claramente seu produtor.",CDC_art18
CDC_art18_par6,CDC,18,§ 6°,paragraph,§ 6° São impróprios ao uso e consumo:,CDC_art18
CDC_art18_par6_incI,CDC,18,I,incise,I - os produtos cujos prazos de validade estejam vencidos;,CDC_art18_par6
CDC_art18_par6_incII,CDC,18,II,incise,"II - os produtos deteriorados, alterados, adulterados, avariados, falsificados, corrompidos, fraudados, nocivos à vida ou à saúde, perigosos ou, ainda, aqueles em desacordo com as normas regulamentares de fabricação, distribuição ou apresentação;",CDC_art18_par6
CDC_art18_par6_incIII,CDC,18,III,incise,"III - os produtos que, por qualquer motivo, se revelem inadequados ao fim a que se destinam.",CDC_art18_par6
