start_id,end_id,weight
CDC_art12_par1,CDC_art12_par1_incI,1.0
CDC_art12_par1,CDC_art12_par1_incII,1.0
CDC_art12_par1,CDC_art12_par1_incIII,1.0
CDC_art12_par3,CDC_art12_par3_incI,1.0
CDC_art12_par3,CDC_art12_par3_incII,1.0
CDC_art12_par3,CDC_art12_par3_incIII,1.0
CDC_art14_par1,CDC_art14_par1_incI,1.0
CDC_art14_par1,CDC_art14_par1_incII,1.0
CDC_art14_par1,CDC_art14_par1_incIII,1.0
CDC_art14_par3,CDC_art14_par3_incI,1.0
CDC_art14_par3,CDC_art14_par3_incII,1.0
CDC_art18_par1,CDC_art18_par1_incI,1.0
CDC_art18_par1,CDC_art18_par1_incII,1.0
CDC_art18_par1,CDC_art18_par1_incIII,1.0
CDC_art18_par6,CDC_art18_par6_incI,1.0
CDC_art18_par6,CDC_art18_par6_incII,1.0
CDC_art18_par6,CDC_art18_par6_incIII,1.0
CDC_art26_par2,CDC_art26_par2_incI,1.0
CDC_art26_par2,CDC_art26_par2_incII,1.0
CDC_art26_par2,CDC_art26_par2_incIII,1.0
